Time_step,gnss_dr_lat,gnss_dr_long,vrtk_lat,vrtk_long,gt_lat,gt_long,vrtk_plus_code
233,,,37.3765581,126.6668249,37.3765673,126.6668341,8Q989MG9+M3CP
234,,,37.37655504,126.66683,37.37656464,126.6668396,8Q989MG9+M3CX
235,,,37.37655206,126.6668349,37.37656206,126.6668449,8Q989MG9+M3M2
236,,,37.37654897,126.6668401,37.37655937,126.6668505,8Q989MG9+M3M3
237,,,37.37654593,126.6668452,37.37655673,126.666856,8Q989MG9+M3M8
238,,,37.37654281,126.6668502,37.37655401,126.6668614,8Q989MG9+M3MH
239,,,37.37653964,126.6668552,37.37655124,126.6668668,8Q989MG9+M3MQ
240,,,37.3765363,126.6668605,37.3765483,126.6668725,8Q989MG9+M3PR
241,,,37.37653316,126.6668655,37.37654556,126.6668779,8Q989MG9+M3W2
242,,,37.37652993,126.6668707,37.37654273,126.6668835,8Q989MG9+M3W6
243,,,37.37652653,126.666876,37.37653973,126.6668892,8Q989MG9+M3WM
244,,,37.37652304,126.6668814,37.37653664,126.666895,8Q989MG9+M3WV
245,,,37.37651946,126.6668869,37.37653346,126.6669009,8Q989MG9+P343
246,,,37.37651597,126.6668921,37.37653037,126.6669065,8Q989MG9+P34F
247,,,37.37651252,126.6668973,37.37652732,126.6669121,8Q989MG9+P34M
248,,,37.37650902,126.6669027,37.37652422,126.6669179,8Q989MG9+P34V
249,,,37.37650559,126.6669078,37.37652119,126.6669234,8Q989MG9+P387
250,,,37.37650227,126.6669134,37.37651827,126.6669294,8Q989MG9+P38F
251,,,37.37649902,126.6669188,37.37651542,126.6669352,8Q989MG9+P38M
252,,,37.37649571,126.6669242,37.37651251,126.666941,8Q989MG9+P3G3
253,,,37.3764924,126.6669298,37.3765096,126.666947,8Q989MG9+P3G7
254,,,37.37648927,126.6669353,37.37650687,126.6669529,8Q989MG9+P3GG
255,,,37.37648606,126.6669409,37.37650406,126.6669589,8Q989MG9+P3GW
256,,,37.37648295,126.6669463,37.37650135,126.6669647,8Q989MG9+P3P5
257,,,37.37647979,126.6669518,37.37649859,126.6669706,8Q989MG9+P3P9
258,,,37.37647661,126.6669572,37.37649581,126.6669764,8Q989MG9+P3QC
259,,,37.37647346,126.6669626,37.37649306,126.6669822,8Q989MG9+P3QM
260,,,37.37647024,126.6669679,37.37649024,126.6669879,8Q989MG9+P3QW
261,,,37.37646698,126.6669732,37.37648658,126.6669928,8Q989MG9+P3QW
262,,,37.37646375,126.6669785,37.37648295,126.6669977,8Q989MG9+P3X5
263,37.37625517,126.6666737,37.37646049,126.6669837,37.37647929,126.6670025,8Q989MG9+P4R6
264,37.37626367,126.6666155,37.37645718,126.6669892,37.37647558,126.6670076,8Q989MG9+P4RF
265,37.37623883,126.6665828,37.37645393,126.6669944,37.37647193,126.6670124,8Q989MG9+P4RP
266,,,37.37645086,126.6669996,37.37646846,126.6670172,8Q989MG9+P4RQ
